timestamp,buyer,seller,symbol,currency,price,quantity
0,SUBMISSION,,VOLCANIC_ROCK,SEASHELLS,10167,2
0,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,36,5
0,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,4,5
100,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10164,5
100,SUBMISSION,,VOLCANIC_ROCK,SEASHELLS,10165,5
100,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10164,4
100,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10164,2
100,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,181,5
100,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,36,5
100,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,3,5
100,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,665,5
100,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,416,5
200,SUBMISSION,,VOLCANIC_ROCK,SEASHELLS,10170,2
200,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,37,5
200,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,4,5
300,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10169,4
300,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,185,5
400,SUBMISSION,,VOLCANIC_ROCK,SEASHELLS,10173,5
400,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10171,4
400,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10171,2
400,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,189,5
400,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,39,5
400,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,3,5
400,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,423,5
500,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,4,5
600,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10170,2
600,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,38,5
600,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,3,5
700,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10170,4
700,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10170,2
700,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,186,5
700,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,38,5
800,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10170,5
